Date,Interpolated Demand,Interpolated Total Value
2021-06-13,33914.86096774194,1435023800.6770322
2021-06-14,33795.918172043006,1428408771.1673226
2021-06-15,33676.97537634408,1421793741.6576128
2021-06-16,33558.03258064516,1415178712.1479032
2021-06-17,33439.089784946234,1408563682.6381936
2021-06-18,33320.14698924731,1401948653.1284838
2021-06-19,33201.20419354839,1395333623.6187742
2021-06-20,33082.26139784946,1388718594.1090646
2021-06-21,32963.31860215054,1382103564.5993547
2021-06-22,32844.375806451615,1375488535.0896451
2021-06-23,32725.433010752688,1368873505.5799356
2021-06-24,32606.490215053764,1362258476.0702257
2021-06-25,32487.547419354836,1355643446.560516
2021-06-26,32368.604623655912,1349028417.0508065
2021-06-27,32249.66182795699,1342413387.5410967
2021-06-28,32130.719032258065,1335798358.031387
2021-06-29,32011.77623655914,1329183328.5216775
2021-06-30,31892.833440860213,1322568299.0119677
2021-07-01,31773.89064516129,1315953269.502258
2021-07-02,31717.006024973984,1312856791.0027056
2021-07-03,31660.121404786678,1309760312.5031528
2021-07-04,31603.236784599376,1306663834.0036004
2021-07-05,31546.35216441207,1303567355.5040479
2021-07-06,31489.467544224764,1300470877.0044954
2021-07-07,31432.58292403746,1297374398.5049427
2021-07-08,31375.698303850157,1294277920.0053902
2021-07-09,31318.81368366285,1291181441.5058377
2021-07-10,31261.929063475545,1288084963.0062852
2021-07-11,31205.04444328824,1284988484.5067325
2021-07-12,31148.159823100934,1281892006.00718
2021-07-13,31091.27520291363,1278795527.5076275
2021-07-14,31034.390582726326,1275699049.008075
2021-07-15,30977.50596253902,1272602570.5085223
2021-07-16,30920.621342351715,1269506092.0089698
2021-07-17,30863.736722164413,1266409613.5094173
2021-07-18,30806.852101977107,1263313135.0098648
2021-07-19,30749.9674817898,1260216656.510312
2021-07-20,30693.082861602496,1257120178.0107596
2021-07-21,30636.198241415193,1254023699.511207
2021-07-22,30579.313621227888,1250927221.0116546
2021-07-23,30522.429001040582,1247830742.512102
2021-07-24,30465.544380853276,1244734264.0125494
2021-07-25,30408.65976066597,1241637785.512997
2021-07-26,30351.77514047867,1238541307.0134444
2021-07-27,30294.890520291363,1235444828.5138917
2021-07-28,30238.005900104057,1232348350.0143392
2021-07-29,30181.12127991675,1229251871.5147867
2021-07-30,30124.23665972945,1226155393.015234
2021-07-31,30067.352039542144,1223058914.5156815
2021-08-01,30010.467419354838,1219962436.016129
2021-08-02,30226.604037460977,1229579875.008491
2021-08-03,30442.74065556712,1239197314.0008533
2021-08-04,30658.877273673257,1248814752.9932153
2021-08-05,30875.013891779396,1258432191.9855776
2021-08-06,31091.150509885534,1268049630.9779396
2021-08-07,31307.287127991676,1277667069.9703019
2021-08-08,31523.423746097815,1287284508.962664
2021-08-09,31739.560364203953,1296901947.9550261
2021-08-10,31955.696982310095,1306519386.9473882
2021-08-11,32171.833600416234,1316136825.9397502
2021-08-12,32387.970218522372,1325754264.9321125
2021-08-13,32604.10683662851,1335371703.9244745
2021-08-14,32820.24345473465,1344989142.9168367
2021-08-15,33036.380072840795,1354606581.9091988
2021-08-16,33252.51669094693,1364224020.901561
